Ticker,Revenue,Operating_Margin,Net_Margin,ROE,Total_Debt,Total_Cash,EBITDA,Interest_Expense,Net_Debt,Net_Debt_to_EBITDA,Interest_Coverage
CF,6736000000,0.34117,0.20472,0.21967,3396000000.0,1838000000.0,3036999936.0,139000000.0,1558000000.0,0.5130062669846562,21.8489204028777
CB,58842001408,0.25623,0.16442,0.1364,24088999936.0,6621000192.0,12673000448.0,741000000.0,17467999744.0,1.378363380927421,17.102564707152496
CHD,6141000192,0.16057,0.12742,0.18594,2400999936.0,305300000.0,1330200064.0,95000000.0,2095699936.0,1.57547724790968,14.002105936842105
CI,268077006848,0.04,0.02293,0.15538,34040000512.0,6908000256.0,11649999872.0,1435000000.0,27132000256.0,2.3289270861890703,8.118466809756098
CINF,12078000128,0.38272,0.17569,0.14529,883000000.0,1608999936.0,2812999936.0,53000000.0,-725999936.0,-0.25808743424016917,53.07547049056604
CTAS,10556716032,0.22731,0.17538,0.42187,2675266048.0,138143008.0,2778882048.0,101108000.0,2537123040.0,0.9130013423297338,27.484294496973533
CSCO,57696002048,0.23638001,0.17902,0.22418,28088999936.0,15736000512.0,15671000064.0,1593000000.0,12352999424.0,0.7882712892317425,9.837413725047082
CLX,6770999808,0.08328,0.11682,4.43646,3078000128.0,166000000.0,1224999936.0,88000000.0,2912000128.0,2.3771430858262512,13.920453818181818
CME,6385200128,0.63386,0.58946997,0.13346,3769499904.0,2569999872.0,4494099968.0,160900000.0,1199500032.0,0.26690550734095286,27.931012852703542
KO,47663001600,0.32373002,0.2734,0.42442,48161001472.0,15781000192.0,16307000320.0,1656000000.0,32380001280.0,1.9856503737408402,9.847222415458937
CTSH,20856999936,0.15993,0.10203,0.14501001,1170000000.0,2353999872.0,3777999872.0,54000000.0,-1183999872.0,-0.3133933065416472,69.9629605925926
COIN,7370428928,0.25254,0.43664002,0.26005,7780648960.0,9769669632.0,2399290112.0,80645000.0,-1989020672.0,-0.8290038216103814,29.751256891313783
CL,20096999424,0.2023,0.1447,2.93635,8418999808.0,1472000000.0,4812000256.0,292000000.0,6946999808.0,1.4436823438107482,16.47945293150685
CMCSA,123310997504,0.17735,0.18333,0.24186,99062996992.0,9324999680.0,38034001920.0,4134000000.0,89737997312.0,2.359415070250909,9.200290740203194
COP,61280002048,0.19543,0.14445,0.15421,23481999360.0,6256000000.0,25422000128.0,1108000000.0,17225999360.0,0.6776020483544544,22.944043436823105
STZ,9624000512,0.36413,0.12705,0.15912,10544900096.0,72000000.0,3622599936.0,411400000.0,10472900096.0,2.890989974334279,8.805541895964998
CEG,24841000960,0.16332,0.11026,0.19839,9036999680.0,3959000064.0,5948000256.0,506000000.0,5077999616.0,0.8537322457035214,11.754941217391304
GLW,14915000320,0.14561,0.09159,0.12739,9185000448.0,1648000000.0,3392000000.0,329000000.0,7537000448.0,2.2219930566037736,10.310030395136778
CPAY,4314608128,0.44617,0.24365999,0.29097,8285751808.0,2021708032.0,2255620096.0,383043000.0,6264043776.0,2.7770828018017446,5.888686377247463
COST,275235012608,0.03878,0.02943,0.30686,9934999552.0,15283999744.0,12808999936.0,154000000.0,-5349000192.0,-0.41759701918387143,83.17532425974026
CSX,14122999808,0.35071,0.20548001,0.22589001,19811000320.0,618000000.0,6537999872.0,832000000.0,19193000320.0,2.9356073257506483,7.858172923076923
CMI,33581000704,0.12132,0.079450004,0.22767,8245000192.0,3159000064.0,5238000128.0,370000000.0,5086000128.0,0.970981291278044,14.156757102702702
DECK,5244322816,0.2282,0.19364001,0.43312,350672000.0,1414478976.0,1312071040.0,3517000.0,-1063806976.0,-0.8107845867857887,373.06540801819733
DAL,62919999488,0.0992,0.07357,0.28514,22077999104.0,3791000064.0,8022000128.0,747000000.0,18286999040.0,2.2796059272264326,10.738955994645247
DVN,16554000384,0.24194999,0.16424999,0.18586999,8638000128.0,1228999936.0,7670000128.0,401000000.0,7409000192.0,0.9659713257308566,19.127182364089776
DXCM,4515899904,0.20053,0.15958999,0.30635,2575600128.0,3322099968.0,1022099968.0,19000000.0,-746499840.0,-0.730358930996464,53.794735157894735
DOV,7923358208,0.1869,0.28370002,0.15883,3071008000.0,1552803968.0,1765272064.0,131171000.0,1518204032.0,0.8600396862112242,13.457792225415679
EMN,9024000000,0.09673,0.07746,0.12116,5214000128.0,489000000.0,1691000064.0,216000000.0,4725000128.0,2.7942045825966333,7.828704
ETN,26633000960,0.19777,0.14741,0.20653,11267000320.0,565000000.0,6115999744.0,130000000.0,10702000320.0,1.7498366200062418,47.046151876923076
EBAY,10714000384,0.21418,0.20366,0.42430001,7133000192.0,3377999872.0,2739000064.0,259000000.0,3755000320.0,1.3709383834464928,10.575289822393822
ECL,15890400256,0.14715,0.12489,0.21869,7000000000.0,1402400000.0,3809100032.0,340300000.0,5597600000.0,1.4695334732548184,11.193358895092565
EW,5883800064,0.27371,0.23249,0.13492,700300032.0,3841999872.0,1788400000.0,19800000.0,-3141699840.0,-1.756709818832476,90.32323232323232
EA,7288000000,0.10875,0.121429995,0.13201,2199000064.0,1260000000.0,1567000064.0,58000000.0,939000064.0,0.5992342218564198,27.017242482758622
ELV,194819997696,0.034649998,0.028399998,0.12569,32102000640.0,36216000512.0,8924000256.0,1185000000.0,-4113999872.0,-0.4610040064974198,7.530801903797468
ENPH,1512376960,0.16433,0.12932,0.20305,1233623040.0,1477923968.0,281383008.0,8905000.0,-244300928.0,-0.8682149278893202,31.59831645143178
EOG,22653999104,0.33223,0.24410999,0.18476999,8127000064.0,3529999872.0,11760000000.0,138000000.0,4597000192.0,0.3909013768707483,85.21739130434783
EFX,5943300096,0.19950001,0.1108,0.13066,4813100032.0,189000000.0,1856600064.0,229100000.0,4624100032.0,2.4906279611116076,8.103885045831515
ERIE,4040325120,0.20115,0.16038,0.30444,54325000.0,600384000.0,814471232.0,0.0,-546059000.0,-0.6704460250352955,inf
EXPE,14369999872,0.25566998,0.096590005,0.53886,6489999872.0,6169999872.0,2179000064.0,246000000.0,320000000.0,0.14685635181330586,8.857723837398375
FDS,2321747968,0.29707,0.25715,0.29132,1558509056.0,355096000.0,905993984.0,56324000.0,1203413056.0,1.328279301245338,16.085398480221574
FAST,7997599744,0.20696,0.15336001,0.32742,517300000.0,288100000.0,1795299968.0,7300000.0,229200000.0,0.12766668750923746,245.93150246575343
FSLR,5050625024,0.29225,0.27728,0.16864,891915008.0,2039920000.0,2018718976.0,38870000.0,-1148004992.0,-0.5686799428985999,51.93514216619501
FTNT,6554699776,0.31648,0.28584,2.28043,1088800000.0,3123399936.0,2170700032.0,20000000.0,-2034599936.0,-0.9373012880666876,108.5350016
FOXA,16474000384,0.26323998,0.12353,0.17272,7452000256.0,4368000000.0,3561999872.0,403000000.0,3084000256.0,0.8658058301019501,8.83870935980149
FOX,16474000384,0.26323998,0.12353,0.17272,7452000256.0,4368000000.0,3561999872.0,403000000.0,3084000256.0,0.8658058301019501,8.83870935980149
FCX,26001999872,0.28055,0.07969,0.14538999,9297999872.0,4318000128.0,9562000384.0,319000000.0,4979999744.0,0.5208114980138449,29.9749228338558
IT,6459774976,0.15773,0.1371,1.0925701,2850041088.0,1430729984.0,1313932032.0,131046000.0,1419311104.0,1.0802013113567202,10.026494757566045
GE,43949998080,0.20598,0.18344,0.42131,21920999424.0,13109000192.0,11264000000.0,986000000.0,8811999232.0,0.7823152727272727,11.42393509127789
GEHC,20245999616,0.14213,0.10945,0.24450001,10744000512.0,4004999936.0,3625999872.0,505000000.0,6739000576.0,1.8585220115529006,7.180197766336634
GD,51508998144,0.10459,0.081829995,0.17782,9875999744.0,2520000000.0,6240000000.0,393000000.0,7355999744.0,1.1788461128205128,15.877862595419847
GILD,29087000576,0.45231,0.27882,0.40706003,24941000704.0,8489999872.0,14136000512.0,977000000.0,16451000832.0,1.163766287220689,14.468782509723644
GL,5940974080,0.34092999,0.19363001,0.22277,3141361920.0,365540000.0,1621281024.0,127092000.0,2775821920.0,1.7121164553887975,12.756751203852328
GDDY,4869799936,0.23884001,0.17013,3.69454,3871399936.0,983000000.0,1218400000.0,158300000.0,2888399936.0,2.3706499803020353,7.696778269109286
HAL,22136999936,0.12857,0.05913,0.12788,8567000064.0,2026000000.0,4195000064.0,450000000.0,6541000064.0,1.5592371785956665,9.322222364444444
HIG,27917000704,0.18916,0.12745,0.20069,4368000000.0,4369999872.0,4866999808.0,199000000.0,-1999872.0,-0.0004109044748086417,24.457285467336682
HSY,11489094656,0.13542,0.118360005,0.31013,5740420096.0,1163016960.0,2450479104.0,174317000.0,4577403136.0,1.8679625255845478,14.057602551673101
HD,165054005248,0.14478,0.08863,1.9395399,61920002048.0,2804000000.0,25603000320.0,2321000000.0,59116002048.0,2.3089482212684675,11.031021249461439
HON,40669999104,0.18505,0.1507,0.34616002,38215000064.0,13358999552.0,9777999872.0,1058000000.0,24856000512.0,2.54203322124977,9.241965852551985
HWM,7975000064,0.25658,0.18181999,0.30064,3352000000.0,663000000.0,2244999936.0,182000000.0,2689000000.0,1.1977728626536583,12.335164483516483
HUBB,5686199808,0.22591,0.15123,0.24991,2149700096.0,680899968.0,1350400000.0,73800000.0,1468800128.0,1.0876778199052133,18.29810298102981
HII,12012000256,0.06172,0.04737,0.12387,2926000128.0,312000000.0,1062000000.0,95000000.0,2614000128.0,2.4613937175141243,11.178947368421053
IBM,65401999360,0.1717,0.120900005,0.30156,66568998912.0,14855000064.0,17767000064.0,1712000000.0,51713998848.0,2.910677022666554,10.37792059813084
IEX,3421299968,0.21418,0.13974,0.12197,1929699968.0,593800000.0,917200000.0,44500000.0,1335899968.0,1.4564980026166594,20.61123595505618
IDXX,4167410944,0.32106,0.24654,0.64633006,1112962944.0,208166000.0,1437280000.0,31205000.0,904796944.0,0.6295203050205944,46.05928537093415
ITW,15882999808,0.27667,0.19052,0.91683,8942000128.0,924000000.0,4592999936.0,283000000.0,8018000128.0,1.7457000304212502,16.229681752650176
INCY,4813105152,0.31633,0.24695,0.30389,41267000.0,2929819904.0,1324280064.0,2280000.0,-2888552904.0,-2.1812250916736597,580.8245894736842
PODD,2521799936,0.16664,0.097629994,0.19679001,1075600000.0,757400000.0,510900000.0,42700000.0,318200000.0,0.6228224701507145,11.964871194379391
IPG,8739500032,0.16834,0.06245,0.14948,4144900096.0,1531200000.0,1713500032.0,229900000.0,2613700096.0,1.5253574830397203,7.453240678555894
JBHT,12048818176,0.07948,0.04753,0.15126,1897753984.0,52290000.0,1566736000.0,79020000.0,1845463984.0,1.1779036059680763,19.827081751455328
JBL,29802000384,0.05841,0.022049999,0.40381,3732000000.0,1960000000.0,2120000000.0,147000000.0,1772000000.0,0.8358490566037736,14.421768707482993
JKHY,2419044096,0.28549,0.19865,0.2345,68886000.0,36239000.0,658918976.0,10438000.0,32647000.0,0.04954630415743255,63.12693772753401
JNJ,92148998144,0.30200002,0.27259,0.33619,45795000320.0,18562000896.0,31921999872.0,755000000.0,27232999424.0,0.8531106927259623,42.28079453245033
K,12670000128,0.15031,0.10079,0.32112,6232000000.0,246000000.0,2291000064.0,311000000.0,5986000000.0,2.6128327511037557,7.3665596913183276
KVUE,15006000128,0.19288,0.0955,0.13469,9109000192.0,1139000064.0,3540999936.0,431000000.0,7970000128.0,2.2507766936034197,8.215777113689095
KMB,19723999232,0.16699,0.09983,1.3688201,7341000192.0,617000000.0,3910000128.0,270000000.0,6724000192.0,1.7196930874371572,14.481481955555555
KLAC,12524316672,0.41661,0.33828998,0.99167997,6088118784.0,4683591168.0,5626762240.0,302166000.0,1404527616.0,0.2496155970507117,18.62142742730817
KR,147000000512,0.028900001,0.018550001,0.25049,25177999360.0,4882999808.0,8025999872.0,450000000.0,20294999552.0,2.5286568496969943,17.83555527111111
LRCX,19591788544,0.34354,0.29657,0.62261003,4483942912.0,6693045760.0,6859485184.0,178203000.0,-2209102848.0,-0.32205082287411496,38.49253482825766
LVS,12263999488,0.23627001,0.12687999,0.65651,15822999552.0,3352999936.0,4255000064.0,727000000.0,12469999616.0,2.930669665907671,5.852819895460798
LDOS,17332000768,0.11971,0.08106,0.2929,5229000192.0,974000000.0,2335000064.0,193000000.0,4255000192.0,1.8222698395609123,12.09844592746114
LII,5345299968,0.21340999,0.15741,0.92253995,1370099968.0,59200000.0,1160700032.0,44100000.0,1310899968.0,1.1294046108891638,26.319728616780047
LLY,59419799552,0.48294,0.30986,0.9647,42577600512.0,9913499648.0,28728600576.0,780600000.0,32664100864.0,1.1369889312077295,36.803229023827825
LIN,33504000000,0.2794,0.21170999,0.17979999,25924999168.0,4509000192.0,13150000128.0,487000000.0,21415998976.0,1.6285930621703488,27.002053650924026
LYV,24569493504,0.09149,0.03659,0.5636,9388700672.0,6750547968.0,2180762880.0,325974000.0,2638152704.0,1.2097384489596594,6.689990244620737
LMT,73348997120,0.11693,0.05726,0.62776,22189000704.0,3470000128.0,7256999936.0,1036000000.0,18719000576.0,2.5794406422880254,7.004826193050193
MKTX,839262976,0.40982,0.26157,0.15823,66872000.0,573801984.0,425404000.0,1601000.0,-506929984.0,-1.1916436704873485,265.7114303560275
MMC,26453000192,0.19240999,0.15601,0.28734,21425999872.0,2511000064.0,7729999872.0,700000000.0,18914999808.0,2.446959912187693,11.04285696
MLM,6903000064,0.27898002,0.16688,0.12523,5903000064.0,57000000.0,2326000128.0,169000000.0,5846000064.0,2.513327490238212,13.763314366863906
MAS,7597000192,0.15806,0.10885999,5.6387095,3172999936.0,559000000.0,1447000064.0,99000000.0,2613999936.0,1.8064960749027306,14.616162262626263
MA,31473999872,0.598,0.45275003,1.8486099,18983000064.0,10648000512.0,19612000256.0,646000000.0,8334999552.0,0.4249948726902566,30.359133523219814
MRK,64234999808,0.40802,0.29632,0.39485002,41373999104.0,18214000640.0,31523000320.0,1271000000.0,23159998464.0,0.7347015902323856,24.80173117230527
META,189458006016,0.40075,0.30892,0.32643002,51059998720.0,44447997952.0,98399002624.0,715000000.0,6612000768.0,0.06719581084846586,137.6209826909091
MU,37377998848,0.32638,0.22845,0.17198999,15352000512.0,10307000320.0,18090000384.0,477000000.0,5045000192.0,0.27888336566659966,37.924529106918236
MSFT,293812011008,0.48873,0.35707,0.32241002,120375001088.0,102012002304.0,166436995072.0,2385000000.0,18362998784.0,0.11033003074860993,69.78490359412999
MOH,42842001408,0.01249,0.020610001,0.19708,3852000000.0,8447000064.0,1456999936.0,118000000.0,-4595000064.0,-3.1537407452569717,12.347457084745763
MCO,7501000192,0.46886003,0.29916,0.54914004,7456999936.0,2259000064.0,3579000064.0,339000000.0,5197999872.0,1.4523609329558258,10.557522312684366
MSI,11313000448,0.26554,0.18704,1.1517,9936000000.0,894000000.0,3344999936.0,295000000.0,9042000000.0,2.7031390651721674,11.338982833898305
NTAP,6590000128,0.19949,0.17768998,1.23004,2744999936.0,3329999872.0,1644000000.0,64000000.0,-584999936.0,-0.35583937712895375,25.6875
NFLX,43378786304,0.28219998,0.24047,0.42861,17083538432.0,9324392448.0,12969651200.0,718733000.0,7759145984.0,0.5982540212029758,18.045158911584693
NEM,21503000576,0.4685,0.33423,0.22875999,5650999808.0,5967000064.0,12248999936.0,375000000.0,-316000256.0,-0.02579804536297452,32.663999829333335
NDSN,2784348928,0.26538,0.16341999,0.15594,2220894976.0,147788000.0,838913984.0,88924000.0,2073106976.0,2.471179424278139,9.434055867932166
NSC,12229999616,0.36578,0.24219,0.2048,17617000448.0,1418000000.0,5678000128.0,807000000.0,16199000448.0,2.8529411910573312,7.035935722428748
NOC,40928002048,0.13221,0.09819999,0.26152,17490999296.0,1956999936.0,6576999936.0,621000000.0,15533999360.0,2.361867038339591,10.59098218357488
NVDA,165217992704,0.60842997,0.52414,1.09417,10597999616.0,56790999040.0,98280996864.0,247000000.0,-46192999424.0,-0.47000947179973446,397.8987727287449
NVR,10582633472,0.17104,0.13545,0.348,1071937984.0,1932167040.0,1915858944.0,27783000.0,-860229056.0,-0.44900437931196674,68.95795788791708
NXPI,12044999680,0.28238,0.17111,0.20872,12234999808.0,3953999872.0,3996000000.0,398000000.0,8280999936.0,2.0723223063063063,10.040201005025125
ODFL,5574922240,0.25655,0.18967,0.25059,84993000.0,46592000.0,1751644032.0,212000.0,38401000.0,0.021922833234646617,8262.471849056603
OMC,16065300480,0.15593,0.08307,0.27007,7066500096.0,3406500096.0,2581600000.0,245200000.0,3660000000.0,1.417725441586613,10.528548123980425
PKG,8771800064,0.15683,0.10185,0.19811001,4356899840.0,728700032.0,1852700032.0,41400000.0,3628199808.0,1.9583309469063581,44.75120850241546
PANW,9221499904,0.13528,0.122959994,0.17452998,417400000.0,2903200000.0,1329500032.0,1900000.0,-2485800000.0,-1.869725415696718,699.7368589473684
PH,20029999104,0.21086,0.18178,0.27294,10332999680.0,473000000.0,5207000064.0,409000000.0,9859999680.0,1.8936046780889766,12.731051501222494
PAYX,5793200128,0.36727002,0.27855,0.41266,5021599744.0,1670899968.0,2628000000.0,105400000.0,3350699776.0,1.2749999147640791,24.93358633776091
PAYC,2001299968,0.22826,0.22645001,0.28557,84500000.0,375000000.0,524500000.0,3400000.0,-290500000.0,-0.553860819828408,154.26470588235293
PYPL,32861999104,0.19198999,0.14963001,0.24358,12167000064.0,10755000320.0,6618999808.0,382000000.0,1411999744.0,0.2133252432328821,17.32722462827225
PNR,4128399872,0.23982,0.15844,0.17966999,1692999936.0,128400000.0,1080600064.0,88600000.0,1564599936.0,1.447899170215115,12.196388984198645
PEP,92365996032,0.16903,0.078200005,0.37162,50849001472.0,8661000192.0,17016000512.0,919000000.0,42188001280.0,2.479313587834476,18.51577857671382
POOL,5294666240,0.122650005,0.07784,0.29307,1389896960.0,128483000.0,637102976.0,50250000.0,1261413960.0,1.9799216257310341,12.678666189054727
PPG,15690000384,0.1416,0.06348,0.1616,7920999936.0,1918000000.0,2636999936.0,241000000.0,6002999936.0,2.276450542924852,10.94190844813278
PG,84933001216,0.2758,0.19739,0.31902,35946000384.0,11171000320.0,24721999872.0,907000000.0,24775000064.0,1.0021438472726483,27.256890707828003
PGR,85165998080,0.15079,0.12579,0.34223998,6896000000.0,1688000000.0,14092999680.0,279000000.0,5208000000.0,0.3695451726569542,50.51254365591398
PSA,4795182080,0.46947,0.39453998,0.19933,10042821632.0,296460000.0,3379439104.0,287401000.0,9746361632.0,2.8840175342896193,11.758619851705458
PHM,17622999040,0.17336,0.14926,0.21569,2172651008.0,1453908992.0,3504635904.0,479000.0,718742016.0,0.20508321996577936,7316.567649269311
PWR,27191171072,0.07105,0.03744,0.13369,6018079744.0,610387008.0,2462328064.0,202687000.0,5407692736.0,2.196170695149093,12.148426213817364
QCOM,44283998208,0.26235,0.12512,0.2334,15642999808.0,10154999808.0,13996000256.0,664000000.0,5488000000.0,0.3921120248370478,21.078313638554217
DGX,10849999872,0.14915,0.08931,0.14353,6382000128.0,435000000.0,2140999936.0,226000000.0,5947000128.0,2.7776741269365455,9.473451044247788
RL,7570599936,0.14074999,0.112840004,0.34005,2872199936.0,1645500032.0,1307900032.0,44100000.0,1226699904.0,0.9379156464459816,29.65759709750567
REGN,14247799808,0.29563,0.32131,0.15188,2705499904.0,8443599872.0,4348000256.0,55200000.0,-5738099968.0,-1.3197101265304065,78.76812057971014
RSG,16501999616,0.19919,0.12768,0.18249,13505999872.0,84000000.0,5160000000.0,539000000.0,13421999872.0,2.601162765891473,9.573283858998145
ROK,8342000128,0.19732,0.104169995,0.20282,3647000064.0,468000000.0,1736000000.0,156000000.0,3179000064.0,1.8312212350230415,11.128205128205128
ROL,3680305920,0.22037001,0.14019,0.36208,912081984.0,127357000.0,842540992.0,27677000.0,784724984.0,0.9313789969283773,30.441918994110633
ROST,21497755648,0.115439996,0.09596,0.37979,5067982848.0,3847015936.0,3051328000.0,63387000.0,1220966912.0,0.40014279421943494,48.138072475428714
SLB,35247001600,0.15479,0.10341,0.15182,12776999936.0,3584999936.0,7680000000.0,512000000.0,9192000000.0,1.196875,15.0
NOW,12666999808,0.16789,0.13665,0.16813,2401999872.0,5410999808.0,2497999872.0,23000000.0,-3008999936.0,-1.2045636870232794,108.60869008695653
SNA,5115400192,0.25257,0.19827999,0.18330999,1301400064.0,1533900032.0,1394000000.0,49600000.0,-232499968.0,-0.1667862037302726,28.10483870967742
STLD,17634670592,0.10516,0.0639,0.12550999,3782455040.0,770355968.0,1933916032.0,56347000.0,3012099072.0,1.5575128506923717,34.321543862139954
SMCI,21052575744,0.03632,0.03766,0.12787,5165600768.0,4211079936.0,987361984.0,59573000.0,954520832.0,0.966738488485293,16.573984590334547
TPR,7207799808,0.21213,0.03765,0.16053,4199300096.0,743200000.0,1643699968.0,85400000.0,3456100096.0,2.1026344000026165,19.247072224824358
TGT,105640001536,0.05434,0.03718,0.26319,20401999872.0,4341000192.0,8668000256.0,411000000.0,16060999680.0,1.8529071533982198,21.09002495377129
TEL,17262000128,0.19773,0.106709994,0.14618,6377999872.0,1255000064.0,4206000128.0,77000000.0,5122999808.0,1.2180217907972446,54.62337828571429
TER,2859570944,0.18892,0.15495,0.15767999,268751008.0,297716992.0,638937024.0,3587000.0,-28965984.0,-0.045334646314063025,178.1257385001394
TXN,17265999872,0.36736,0.29208001,0.29757,14046000128.0,5185999872.0,7815000064.0,508000000.0,8860000256.0,1.1337172339657193,15.383858393700788
TMO,43735998464,0.19277,0.15022,0.13116999,35680002048.0,3545999872.0,10835000320.0,1390000000.0,32134002176.0,2.965759227222616,7.794964258992806
TJX,57925001216,0.11249,0.08587,0.59755003,13121000448.0,4639000064.0,7655000064.0,76000000.0,8482000384.0,1.108034005628455,100.72368505263158
TSCO,15399257088,0.09215,0.07176,0.45459,5722306048.0,184639008.0,1974310016.0,54592000.0,5537667040.0,2.804861949299861,36.16482297772568
TT,21051400192,0.20219,0.13926,0.3721,4615900160.0,1125799936.0,4206899968.0,238400000.0,3490100224.0,0.8296133139717193,17.646392483221476
TRV,48404000768,0.19687,0.121350005,0.19809,9267000320.0,7390000128.0,8375000064.0,392000000.0,1877000192.0,0.22411942419777395,21.364796081632655
UBER,49609998336,0.082650006,0.33542,0.72994006,13340000256.0,9086000128.0,5290999808.0,523000000.0,4254000128.0,0.8040068573746583,10.116634432122371
UNP,24546000896,0.41030997,0.2873,0.41619,32847998976.0,828000000.0,12469999616.0,1269000000.0,32019998976.0,2.567762627267109,9.826634843183609
